title,url,discounted_price,original_price
Authentic Dovpo Blotto Mini RTA 2/4ML 23.3MM - Black,https://www.cigabuy.com/authentic-dovpo-blotto-mini-rta-24ml-233mm-black-p-19571.html,€17.18,€26.75 
Authentic Cthulhu Hastur 88W TC Box Mod - Silver,https://www.cigabuy.com/authentic-cthulhu-hastur-88w-tc-box-mod-silver-p-19949.html,€42.22,€60.56 
Authentic Wotofo Profile RDTA  - Stainless Steel,https://www.cigabuy.com/authentic-wotofo-profile-rdta-stainless-steel-p-19386.html,,
3 x Authentic Wotofo H12 CLAPTON MESH COIL 0.20ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h12-clapton-mesh-coil-020ohm-p-19864.html,,
Authentic IJOY CAPTAIN 2 Kit - Black,https://www.cigabuy.com/authentic-ijoy-captain-2-kit-black-p-19125.html,€31.46,€42.14 
Authentic Vaporesso ORC Tank 3.5ml - Silver,https://www.cigabuy.com/authentic-vaporesso-orc-tank-35ml-silver-p-20004.html,€3.72,€14.74 
Authentic Eleaf iStick Rim C 80W Box Mod - White,https://www.cigabuy.com/authentic-eleaf-istick-rim-80w-box-mod-white-p-19429.html,€22.16,€27.91 
Authentic Uwell Caliburn G POD kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-grey-p-19938.html,,
Authentic Think Vape Thor AIO 80W Pod Kit - Cassette,https://www.cigabuy.com/authentic-think-vape-thor-aio-80w-pod-kit-cassette-p-19947.html,€12.02,€17.34 
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit 7ml 25ml - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-7ml-25ml-black-p-19980.html,,
Authentic Uwell Caliburn G POD kit - Green,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-green-p-19939.html,,
Authentic Wotofo nexMESH PRO TANK - Black,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-black-p-19853.html,,
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Silver,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-silver-p-18332.html,,
X96Q Android 10.0 TV Box Quad Core Allwinner H313 4K TV Box 2GB RAM 16GB ROM,https://www.cigabuy.com/x96q-android-100-tv-box-quad-core-allwinner-h313-4k-tv-box-2gb-ram-16gb-rom-p-18997.html,€16.45,€38.65 
Printed Yoga Pants Women Sport Leggings Tight Trouser Pencil Sport,https://www.cigabuy.com/printed-yoga-pants-women-sport-leggings-tight-trouser-pencil-sport-p-19618.html,€3.27,€13.91 
Universal USB Quick Charge 3.0 Wall Adapter Android Mobile Phone Fast Charger,https://www.cigabuy.com/universal-usb-quick-charge-30-wall-adapter-android-mobile-phone-fast-charger-p-19475.html,€1.79,€4.61 
1.4 inch Immunity Monitor Fitness Tracker Waterproof Smart Watch,https://www.cigabuy.com/14-inch-immunity-monitor-fitness-tracker-waterproof-smart-watch-p-19465.html,€12.08,€16.91 
3 x Authentic Wotofo H15 SINGLE MESH & PARALLEL COIL 0.15ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h15-single-mesh-parallel-coil-015ohm-p-19862.html,,
Authentic Vaporesso GEN 220W TC Box Mod - Black,https://www.cigabuy.com/authentic-vaporesso-gen-220w-tc-box-mod-black-p-16073.html,€29.00,€45.06 
Authentic VOOPOO DRAG S 2500mAh 60W VW Pod Kit - Carbon Fiber,https://www.cigabuy.com/authentic-voopoo-drag-s-2500mah-60w-vw-pod-kit-carbon-fiber-p-19706.html,€20.72,€29.66 
Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask,https://www.cigabuy.com/transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-17899.html,€0.80,€2.02 
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit - Stainless Steel,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-stainless-steel-p-19979.html,,
Authentic Wotofo Profile RDTA  - Rainbow,https://www.cigabuy.com/authentic-wotofo-profile-rdta-rainbow-p-19389.html,,
USB Rechargeable Aluminum Alloy Battery Display Telescopic Zoom LED Flashlight,https://www.cigabuy.com/usb-rechargeable-aluminum-alloy-battery-display-telescopic-zoom-led-flashlight-p-19461.html,€4.68,€16.54 
Authentic Uwell Caliburn KOKO 520mAh Pod Kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-koko-520mah-pod-kit-blue-p-16812.html,€15.07,€24.81 
Authentic Wotofo Profile RDTA  - Gold,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gold-p-19387.html,,
Authentic Wotofo Profile RDTA  - Blue,https://www.cigabuy.com/authentic-wotofo-profile-rdta-blue-p-19388.html,,
Authentic Uwell Valyrian Pod Kit - Black,https://www.cigabuy.com/authentic-uwell-valyrian-pod-kit-black-p-19508.html,,
Authentic THC Artemis RDTA - SS,https://www.cigabuy.com/authentic-thc-artemis-rdta-ss-p-20219.html,,
Authentic Vandyvape Berserker V2 MTL RTA  - Matte Black,https://www.cigabuy.com/authentic-vandyvape-berserker-v2-mtl-rta-matte-black-p-19403.html,€17.97,€21.29 
Authentic Lost Vape Centaurus DNA 250C 200W - Pearl Fish Tactile Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-centaurus-dna-250c-200w-pearl-fish-tactile-carbon-fiber-p-18449.html,,
Authentic Hellvape Dead Rabbit V2 RTA - SS,https://www.cigabuy.com/authentic-hellvape-dead-rabbit-v2-rta-ss-p-19714.html,€16.53,€23.46 
3 x Authentic Wotofo H11 SINGLE CONICAL NEXMESH COIL 0.20ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h11-single-conical-nexmesh-coil-020ohm-p-19870.html,,
3 x Authentic SMOK Nfix Replacement Cartridge 3ml Pod 0.8ohm,https://www.cigabuy.com/3-x-authentic-smok-nfix-replacement-cartridge-3ml-pod-08ohm-p-18982.html,€5.29,€6.32 
Authentic Wismec Luxotic MF 100W Box Mod W/O Screen - Black,https://www.cigabuy.com/authentic-wismec-luxotic-mf-100w-box-mod-wo-screen-black-p-12863.html,€5.12,€8.87 
Authentic Uwell Caliburn G POD kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-blue-p-19936.html,,
Authentic Wotofo nexMESH PRO TANK - Gunmetal,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-gunmetal-p-19854.html,,
Authentic Vandy Vape WIDOWMAKER RTA 5/6ML - Blue,https://www.cigabuy.com/authentic-vandy-vape-widowmaker-rta-56ml-blue-p-18903.html,€26.43,€36.41 
5 x Authentic FreeMax Maxpod Coil Head 1.5ohm,https://www.cigabuy.com/5-x-authentic-freemax-maxpod-coil-head-15ohm-p-19918.html,€2.64,€6.28 
Authentic VOOPOO DRAG S 2500mAh 60W VW Pod Kit - Carbon Fiber,https://www.cigabuy.com/authentic-voopoo-drag-s-2500mah-60w-vw-pod-kit-carbon-fiber-p-18564.html,€19.16,€27.06 
Authentic Dovpo Odin 100 Box Mod - Silver,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-silver-p-19701.html,,
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-16657.html,,
Authentic VOOPOO Argus Air Pod Kit - Vintage Grey,https://www.cigabuy.com/authentic-voopoo-argus-air-pod-kit-vintage-grey-p-19952.html,€15.96,€21.71 
Authentic Ehpro Cold Steel 100 120W TC Box Mod - Black Obsidian,https://www.cigabuy.com/authentic-ehpro-cold-steel-100-120w-tc-box-mod-black-obsidian-p-15781.html,,
3 x Authentic Wotofo H13 SINGLE CONICAL NET MESH COIL 0.15ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h13-single-conical-net-mesh-coil-015ohm-p-19867.html,,
Authentic Vaporesso Luxe II 220W TC Mod - Black,https://www.cigabuy.com/authentic-vaporesso-luxe-ii-220w-tc-mod-black-p-19908.html,,
Authentic Steam Crave Aromamizer Lite V1.5 3.5ML RTA - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-lite-v15-35ml-rta-gunmetal-p-16254.html,€12.75,€35.79 
Authentic THC Artemis RDTA - Silver Black,https://www.cigabuy.com/authentic-thc-artemis-rdta-silver-black-p-20220.html,,
Authentic THC Tauren Max RDTA 4.5ml 25MM - Black,https://www.cigabuy.com/authentic-thc-tauren-max-rdta-45ml-25mm-black-p-19441.html,€18.68,€26.75 
Authentic Uwell Caliburn KOKO 520mAh Pod Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-koko-520mah-pod-kit-black-p-16142.html,,
Authentic THC Tauren Max Hybrid Smart Mech Mod - Brass Gun,https://www.cigabuy.com/authentic-thc-tauren-max-hybrid-smart-mech-mod-brass-gun-p-19412.html,€40.96,€58.87 
Authentic Dovpo Odin 100 Box Mod - Matte Black,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-matte-black-p-19698.html,,
Authentic Cthulhu Hastur 88W TC Box Mod - Silver,https://www.cigabuy.com/authentic-cthulhu-hastur-88w-tc-box-mod-silver-p-19052.html,€39.70,€58.29 
Authentic IJOY Captain 2 Mod - Black,https://www.cigabuy.com/authentic-ijoy-captain-2-mod-black-p-19134.html,€24.84,€33.17 
Authentic VapX Geyser 100W Pod Kit Without Battery - Charcoal Black,https://www.cigabuy.com/authentic-vapx-geyser-100w-pod-kit-without-battery-charcoal-black-p-19690.html,,
5 x Authentic Wotofo D15 Single Clapton Mesh Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-wotofo-d15-single-clapton-mesh-coil-02ohm-p-20139.html,,
5 x Authentic Wotofo D14 A1 Conical nexMESH Coil 0.2ohm,https://www.cigabuy.com/5-x-authentic-wotofo-d14-a1-conical-nexmesh-coil-02ohm-p-20140.html,,
Authentic EHPRO Armor COD Semi-Mech Mod 21700 - Black,https://www.cigabuy.com/authentic-ehpro-armor-cod-semi-mech-mod-21700-black-p-18698.html,€18.50,€26.40 
Biker Gloves Motorcross Full Finger Motorcycle Bicycle Cycling Waterproof Glove,https://www.cigabuy.com/biker-gloves-motorcross-full-finger-motorcycle-bicycle-cycling-waterproof-glove-p-19607.html,€3.80,€16.95 
Authentic Wismec R80 80W Pod Kit with 510 Adapter - Classic Legend,https://www.cigabuy.com/authentic-wismec-r80-80w-pod-kit-with-510-adapter-classic-legend-p-19072.html,€21.76,€26.89 
Authentic Freemax Maxpod 550mAh Pod System Kit - Black,https://www.cigabuy.com/authentic-freemax-maxpod-550mah-pod-system-kit-black-p-18766.html,€9.25,€16.77 
5 x Authentic SMOK RPM 2 Mesh 0.16ohm Coil,https://www.cigabuy.com/5-x-authentic-smok-rpm-2-mesh-016ohm-coil-p-19366.html,€8.99,€11.65 
Authentic Steam Crave Aromamizer Supreme V3 RDTA basic kit 7ml - Stainless Steel,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-basic-kit-7ml-stainless-steel-p-19983.html,,
Authentic VOOPOO Drag Nano 750mAh Pod System Kit - Ink,https://www.cigabuy.com/authentic-voopoo-drag-nano-750mah-pod-system-kit-ink-p-14496.html,€5.46,€16.68 
Authentic Gas Mods Kree 24 RTA - Grey,https://www.cigabuy.com/authentic-gas-mods-kree-24-rta-grey-p-19951.html,€15.62,€22.17 
Authentic Lost Vape Centaurus DNA 250C 200W Mod - Cowhide Tactile Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-centaurus-dna-250c-200w-mod-cowhide-tactile-carbon-fiber-p-18450.html,,
4 × Authentic Uwell Valyrian Pod Coil MTL 1.0ohm,https://www.cigabuy.com/4-×-authentic-uwell-valyrian-pod-coil-mtl-10ohm-p-19514.html,,
Authentic Wotofo nexMESH PRO TANK - SS,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-ss-p-19852.html,,
Authentic Dovpo Odin DNA250C 200W Box Mod - Brushed Gunmetal,https://www.cigabuy.com/authentic-dovpo-odin-dna250c-200w-box-mod-brushed-gunmetal-p-18896.html,,
Authentic Steam Crave Titan PWM V1.5 Mod - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-gunmetal-p-19520.html,,
Authentic Vandyvape Requiem RDA - Stainless Steel,https://www.cigabuy.com/authentic-vandyvape-requiem-rda-stainless-steel-p-20048.html,,
Xiaomi 3D Men Electric Shaver Razor Enchen BlackStone3 IPX7 Waterproof,https://www.cigabuy.com/xiaomi-3d-men-electric-shaver-razor-enchen-blackstone3-ipx7-waterproof-p-20146.html,€12.61,€30.36 
Authentic Steam Crave Titan PWM V1.5 Mod - Black,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-black-p-19519.html,,
Xiaomi Mijia 10inch LCD Blackboard Writing Tablet with Pen Digital Drawing Pad,https://www.cigabuy.com/xiaomi-mijia-10inch-lcd-blackboard-writing-tablet-with-pen-digital-drawing-pad-p-18917.html,€9.07,€22.66 
